,title,position,country,genre,original name,year,rating,count,rating_IMBD,position_IMDB,2010-2021,2000-2009,1990-1999,1980-1989,before 1980,delta,main_genre
276,Собачья жизнь,277,"США, Индия","фэнтези, драма",A Dog's Purpose,2017,7.9,114 868,,,1,0,0,0,0,,фэнтези
277,Заплати другому,278,США,драма,Pay It Forward,2000,8.1,132 276,,,0,1,0,0,0,,драма
278,Хороший год,279,"США, Великобритания","драма, мелодрама",A Good Year,2006,7.7,92 960,,,0,1,0,0,0,,драма
279,Стажёр,280,США,"мелодрама, комедия","Intern, The",2015,7.6,215 250,,,1,0,0,0,0,,мелодрама
280,Невероятная жизнь Уолтера Митти,281,"США, Великобритания","комедия, приключения","Secret Life of Walter Mitty, The",2013,7.7,204 785,,,1,0,0,0,0,,комедия
281,Нокдаун,282,США,"драма, мелодрама",Cinderella Man,2005,8.2,123 734,8.0,387.0,0,1,0,0,0,0.1999999999999993,драма
282,Отец,283,"Великобритания, Франция",драма,"Father, The",2020,7.9,26 110,8.3,95.0,1,0,0,0,0,-0.40000000000000036,драма
283,Королевство полной луны,284,США,"семейный, комедия",Moonrise Kingdom,2012,7.6,133 112,,,1,0,0,0,0,,семейный
284,Психо,285,США,"триллер, ужасы",Psycho,1960,8.1,110 659,8.5,52.0,0,0,0,0,1,-0.40000000000000036,триллер
285,Планета Ка-Пэкс,286,"Германия, США","фантастика, драма",K-PAX,2001,8.0,166 049,,,0,1,0,0,0,,фантастика
286,Коралина в Стране Кошмаров,287,США,"мультфильм, фэнтези",Coraline,2008,7.7,131 127,,,0,1,0,0,0,,мультфильм
287,Планета сокровищ,288,США,"мультфильм, фантастика",Treasure Planet,2002,8.1,58 854,,,0,1,0,0,0,,мультфильм
288,Звёздные войны: Эпизод 2 – Атака клонов,289,США,"фантастика, боевик",Star Wars: Episode II - Attack of the Clones,2002,8.0,203 914,,,0,1,0,0,0,,фантастика
289,Ворошиловский стрелок,290,Россия,"драма, криминал",-,1999,7.8,135 589,,,0,0,1,0,0,,драма
290,В случае убийства набирайте `М`,291,США,"фильм-нуар, триллер",Dial M for Murder,1954,8.1,38 342,,,0,0,0,0,1,,фильм-нуар
291,12 лет рабства,292,"США, Великобритания","драма, биография",12 Years a Slave,2013,7.7,193 130,8.1,217.0,1,0,0,0,0,-0.39999999999999947,драма
292,Судья,293,США,драма,"Judge, The",2014,7.8,164 049,,,1,0,0,0,0,,драма
293,Бёрдмэн,294,США,"драма, комедия",Birdman or (The Unexpected Virtue of Ignorance),2014,7.6,192 056,,,1,0,0,0,0,,драма
294,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,295,СССР,"криминал, детектив",-,1980,8.4,87 469,,,0,0,0,1,0,,криминал
295,Бэтмен: Начало,296,"США, Великобритания","боевик, фантастика",Batman Begins,2005,7.9,261 656,8.2,159.0,0,1,0,0,0,-0.29999999999999893,боевик
296,Дитя погоды,297,Япония,"аниме, мультфильм",Tenki no ko,2019,7.9,53 368,,,1,0,0,0,0,,аниме
297,Расправь крылья,298,"Франция, Норвегия","драма, семейный",Donne-moi des ailes,2019,8.0,44 494,,,1,0,0,0,0,,драма
298,Цельнометаллическая оболочка,299,"Великобритания, США","драма, военный",Full Metal Jacket,1987,8.0,124 237,8.3,108.0,0,0,0,1,0,-0.3000000000000007,драма
299,Маска,300,США,"комедия, фэнтези","Mask, The",1994,8.0,276 588,,,0,0,1,0,0,,комедия
300,Того,301,США,"драма, приключения",Togo,2019,8.0,54 502,8.0,336.0,1,0,0,0,0,0.0,драма
