,rating_IMBD,position_IMDB
Золотые прииски Калора: Глава 1,8.2,135
Зеленая книга,8.2,136
Форма голоса,8.2,137
Виновен,8.2,138
Бахубали: Завершение,8.2,139
Клаус,8.2,140
Королева,8.2,142
Мандарины,8.2,143
"Беги, Милка, беги!",8.2,144
Банды Вассейпура,8.2,145
Паан Сингх Томар,8.2,146
Жизнь не может быть скучной,8.2,147
Тайна в его глазах,8.2,148
Остров проклятых,8.2,149
Вверх,8.2,150
Чудо в камере No7,8.2,151
Статья 15,8.2,152
Волк с Уолл-стрит,8.2,153
"Индия, вперед!",8.2,154
Нефть,8.2,155
Лабиринт Фавна,8.2,156
История игрушек 3,8.2,157
Последняя надежда,8.2,158
Бэтмен: Начало,8.2,159
Возвращение на Родину,8.2,160
Бункер,8.2,161
Ходячий замок,8.2,162
Игры разума,8.2,163
Горе-вымогатели,8.2,164
"Карты, деньги, два ствола",8.2,165
Секреты Лос-Анджелеса,8.2,166
Бандит,8.2,167
Схватка,8.2,168
Казино,8.2,169
Непрощенный,8.2,170
Индиана Джонс и последний крестовый поход,8.2,171
Dom za vesanje,8.2,172
Мой сосед Тоторо,8.2,173
Крепкий орешек,8.2,174
Ран,8.2,175
Бешеный бык,8.2,176
Höstsonaten,8.2,177
The Message,8.2,178
Sholay,8.2,179
Монти Пайтон и священный Грааль,8.2,180
Китайский квартал,8.2,181
На несколько долларов больше,8.2,182
Большой побег,8.2,183
Телохранитель,8.2,184
Нюрнбергский процесс,8.2,185
В джазе только девушки,8.2,186
Земляничная поляна,8.2,187
Седьмая печать,8.2,188
В случае убийства набирайте «М»,8.2,189
Токийская повесть,8.2,190
Расёмон,8.2,191
All About Eve,8.2,192
The Treasure of the Sierra Madre,8.2,193
To Be or Not to Be,8.2,194
The Gold Rush,8.2,195
Шерлок младший,8.2,196
Портрет девушки в огне,8.1,197
Розовый,8.1,198
"Три билборда на границе Эббинга, Миссури",8.1,199
Невидимый гость,8.1,200
Служанка,8.1,201
Мамочка,8.1,202
Хайдер,8.1,203
Логан,8.1,204
Комната,8.1,205
Дикие истории,8.1,206
Душа,8.1,207
Зимняя спячка,8.1,208
ПиКей,8.1,209
Невероятная история,8.1,210
Отель «Гранд Будапешт»,8.1,211
Исчезнувшая,8.1,212
Волчьи дети Амэ и Юки,8.1,213
По соображениям совести,8.1,214
Головоломка,8.1,215
Барфи!,8.1,216
12 лет рабства,8.1,217
Гонка,8.1,218
Ford против Ferrari,8.1,219
В центре внимания,8.1,220
Песнь моря,8.1,221
История,8.1,222
Полет,8.1,223
Пленницы,8.1,224
Безумный Макс: Дорога ярости,8.1,225
Воин,8.1,226
Среда,8.1,227
Лига справедливости Зака Снайдера,8.1,228
Гран Торино,8.1,229
Гарри Поттер и Дары смерти: Часть II,8.1,230
Ушедшие,8.1,231
Хатико: самый верный друг,8.1,232
Мэри и Макс,8.1,233
Как приручить дракона,8.1,234
В диких условиях,8.1,235
Старикам тут не место,8.1,236
«V» значит Вендетта,8.1,237
Никто не узнает,8.1,238
Цвет шафрана,8.1,239
Малышка на миллион,8.1,240
Отель «Руанда»,8.1,241
Перед закатом,8.1,242
Братан Мунна: Продавец счастья,8.1,243
Воспоминания об убийстве,8.1,244
Любящие сердца,8.1,245
Убить Билла,8.1,246
В поисках Немо,8.1,247
"Поймай меня, если сможешь",8.1,248
Сука любовь,8.1,249
Корпорация монстров,8.1,250
Конец Евангелиона,8.1,251
Лагаан: Однажды в Индии,8.1,252
Шестое чувство,8.1,253
Торжество,8.1,254
Легенда о пианисте,8.1,255
Шоу Трумана,8.1,256
"Чёрная кошкa, белый кот",8.1,257
Большой Лебовски,8.1,258
Любовное настроение,8.1,259
На игле,8.1,260
Фарго,8.1,261
Андеграунд,8.1,262
Ненависть,8.1,263
Непохищенная невеста,8.1,264
Перед рассветом,8.1,265
Три цвета: Красный,8.1,266
Чyнгкингский экспресс,8.1,267
Хочу жениться на дочери миллионера,8.1,268
Парк юрского периода,8.1,269
Во имя отца,8.1,270
"Прощай, моя наложница",8.1,271
Dà hóng denglong gaogao guà,8.1,272
Общество мёртвых поэтов,8.1,273
Принцесса-невеста,8.1,274
Останься со мной,8.1,275
Взвод,8.1,276
Sacrifice,8.1,277
"Париж, Техас",8.1,278
Навсикая из Долины ветров,8.1,279
Нечто,8.1,280
Фитцкарральдо,8.1,281
Фанни и Александр,8.1,282
Бегущий по лезвию,8.1,283
Человек-слон,8.1,284
Сталкер,8.1,285
Житие Брайана по Монти Пайтон,8.1,286
Охотник на оленей,8.1,287
Рокки,8.1,288
Телесеть,8.1,289
Барри Линдон,8.1,290
Зеркало,8.1,291
Бумажная луна,8.1,292
Viskningar och rop,8.1,293
Солярис,8.1,294
Le samouraï,8.1,295
Хладнокровный Люк,8.1,296
Персона,8.1,297
Андрей Рублёв,8.1,298
La battaglia di Algeri,8.1,299
El ángel exterminador,8.1,300
Что случилось с Бэби Джейн?,8.1,301
Телохранитель 2: Отважный Сандзюро,8.1,302
"Человек, который застрелил Либерти Вэланса",8.1,303
Иваново детство,8.1,304
Девичий источник,8.1,305
Inherit the Wind,8.1,306
Четыреста ударов,8.1,307
Бен-Гур,8.1,308
Kakushi-toride no san-akunin,8.1,309
Ночи Кабирии,8.1,310
Kumonosu-jo,8.1,311
Мост через реку Квай,8.1,312
Du rififi chez les hommes,8.1,313
В порту,8.1,314
Дьяволицы,8.1,315
Плата за страх,8.1,316
Ace in the Hole,8.1,317
White Heat,8.1,318
Третий человек,8.1,319
The Red Shoes,8.1,320
Лучшие годы нашей жизни,8.1,321
The Shop Around the Corner,8.1,322
Ребекка,8.1,323
Гроздья гнева,8.1,324
Мистер Смит едет в Вашингтон,8.1,325
Унесённые ветром,8.1,326
La Grande Illusion,8.1,327
Это случилось однажды ночью,8.1,328
На западном фронте без перемен,8.1,329
Страсти Жанны д'Арк,8.1,330
The Circus,8.1,331
Восход солнца,8.1,332
Паровоз Генерал,8.1,333
Кабинет доктора Калигари,8.1,334
Поздравляем!,8.0,335
Того,8.0,336
Воздушная перевозка,8.0,337
Брат Баджранги,8.0,338
Бэйби,8.0,339
Ла-Ла Ленд,8.0,340
Лев,8.0,341
Марсианин,8.0,342
Зверополис,8.0,343
Бахубали,8.0,344
Сказание о принцессе Кагуя,8.0,345
Чудо,8.0,346
Парень из гетто,8.0,347
26 гpабителей,8.0,348
Короткий срок 12,8.0,349
Рейд 2,8.0,350
Игра в имитацию,8.0,351
Стражи Галактики,8.0,352
Бегущий по лезвию 2049,8.0,353
Она,8.0,354
Выживший,8.0,355
Хорошо быть тихоней,8.0,356
Элитный отряд: Враг внутри,8.0,357
Король говорит!,8.0,358
Прислуга,8.0,359
Дэдпул,8.0,360
История Элли,8.0,361
Дэв.Д,8.0,362
Ип Ман,8.0,363
Меня зовут Кхан,8.0,364
Дыхание: Да здравствует Отечество,8.0,365
Миллионер из трущоб,8.0,366
Чёрный лебедь,8.0,367
Элитный отряд,8.0,368
Мстители,8.0,369
Персеполис,8.0,370
Далласский клуб покупателей,8.0,371
Братан Мунна 2,8.0,372
В погоне за счастьем,8.0,373
Кровавый алмаз,8.0,374
Ультиматум Борна,8.0,375
Пустой дом,8.0,376
Город грехов,8.0,377
Скафандр и бабочка,8.0,378
38-я пaраллель,8.0,379
Космический элемент: Эпизод X,8.0,380
Рататуй,8.0,381
Казино Рояль,8.0,382
Убить Билла 2,8.0,383
Возвращение,8.0,384
"Весна, лето, осень, зима... и снова весна",8.0,385
Море внутри,8.0,386
Нокдаун,8.0,387
Двойная рокировка,8.0,388
Пираты Карибского моря: Проклятие Чёрной жемчужины,8.0,389
Крупная рыба,8.0,390
Суперсемейка,8.0,391
Дрянная девчонка,8.0,392
Догвилль,8.0,393
Bизoнтеле,8.0,394
Донни Дарко,8.0,395
Магнолия,8.0,396
Танцующая в темноте,8.0,397
Простая история,8.0,398
Истинная грусть,8.0,399
Центральный вокзал,8.0,400
Стальной гигант,8.0,401
Отточенное лезвие,8.0,402
Тайны и ложь,8.0,403
12 обезьян,8.0,404
Призрак в доспехах,8.0,405
Кошмар перед Рождеством,8.0,406
День сурка,8.0,407
За кровь платят кровью,8.0,408
Запах женщины,8.0,409
Аладдин,8.0,410
Джон Ф. Кеннеди: Выстрелы в Далласе,8.0,411
Красавица и чудовище,8.0,412
Танцующий с волками,8.0,413
Делай как надо,8.0,414
Человек дождя,8.0,415
Акира,8.0,416
Небо над Берлином,8.0,417
Au revoir les enfants,8.0,418
Небесный замок Лапута,8.0,419
Терминатор,8.0,420
Стена,8.0,421
Ганди,8.0,422
Kagemusha,8.0,423
Being There,8.0,424
Энни Холл,8.0,425
All the President's Men,8.0,426
Челюсти,8.0,427
Собачий полдень,8.0,428
Молодой Франкенштейн,8.0,429
Мотылёк,8.0,430
Изгоняющий дьявола,8.0,431
Игра навылет,8.0,432
Последний киносеанс,8.0,433
Fiddler on the Roof,8.0,434
Конформист,8.0,435
Бутч Кэссиди и Санденс Кид,8.0,436
Ребенок Розмари,8.0,437
Планета обезьян,8.0,438
Выпускник,8.0,439
Кто боится Вирджинии Вульф?,8.0,440
Звуки музыки,8.0,441
Doctor Zhivago,8.0,442
Per un pugno di dollari,8.0,443
Восемь с половиной,8.0,444
Vivre sa vie: Film en douze tableaux,8.0,445
Бильярдист,8.0,446
Сладкая жизнь,8.0,447
Рио Браво,8.0,448
Анатомия убийства,8.0,449
Печать зла,8.0,450
Кошка на раскалённой крыше,8.0,451
Sweet Smell of Success,8.0,452
Убийство,8.0,453
Ночь охотника,8.0,454
La Strada,8.0,455
Лагерь для военнопленных 17,8.0,456
Римские каникулы,8.0,457
Ровно в полдень,8.0,458
Трамвай «Желание»,8.0,459
Незнакомцы в поезде,8.0,460
In a Lonely Place,8.0,461
Добрые сердца и короны,8.0,462
Верёвка,8.0,463
Из прошлого,8.0,464
Дурная слава,8.0,465
Короткая встреча,8.0,466
Лора,8.0,467
Мышьяк и старые кружева,8.0,468
Мальтийский сокол,8.0,469
Волшебник страны Оз,8.0,470
La règle du jeu,8.0,471
The Thin Man,8.0,472
Броненосец «Потемкин»,8.0,473
Достать ножи,7.9,474
Магазинные воришки,7.9,475
Брачная история,7.9,476
Назови меня своим именем,7.9,477
"Я, Дэниел Блэйк",7.9,478
Остров собак,7.9,479
Охота на дикарей,7.9,480
М.С. Дхони: Нерассказанная история,7.9,481
Капитан Фантастик,7.9,482
Рок-н-рольщики,7.9,483
Тор: Рагнарёк,7.9,484
Кролик Джоджо,7.9,485
Прибытие,7.9,486
Перед полуночью,7.9,487
Люди Икс: Дни минувшего будущего,7.9,488
Однажды в Анатолии,7.9,489
Богемская рапсодия,7.9,490
Артист,7.9,491
Грань будущего,7.9,492
Любовь,7.9,493
Пророк,7.9,494
Впусти меня,7.9,495
Район No 9,7.9,496
Рестлер,7.9,497
Когда мы встретились,7.9,498
Отрочество,7.9,499
"4 мeсяца, 3 недели и 2 дня",7.9,500
