,position,country,genre,original name,year,rating,count
Троя,113,"США, Мальта","боевик, история",Troy,2004,8.0,245 332
Эффект бабочки,114,"США, Канада","фантастика, триллер","Butterfly Effect, The",2003,8.2,394 641
По соображениям совести,115,"Австралия, США","драма, военный",Hacksaw Ridge,2016,8.0,185 072
Мой сосед Тоторо,116,Япония,"аниме, мультфильм",Tonari no Totoro,1988,8.2,143 206
Прислуга,117,США,драма,"Help, The",2011,8.2,202 891
Аладдин,118,США,"мультфильм, мюзикл",Aladdin,1992,8.1,229 661
Запах женщины,119,США,драма,Scent of a Woman,1992,8.4,217 007
Бесславные ублюдки,120,"США, Германия","боевик, драма",Inglourious Basterds,2009,7.9,338 626
Таксист,121,Корея Южная,"история, драма",Taeksi unjeonsa,2017,8.1,23 088
"Три билборда на границе Эббинга, Миссури",122,"Великобритания, США","драма, криминал","Three Billboards Outside Ebbing, Missouri",2017,8.2,293 306
Тот самый Мюнхгаузен,123,СССР,"фэнтези, драма",-,1979,8.3,91 952
Летят журавли,124,СССР,"военный, мелодрама",-,1957,8.3,89 513
Однажды в Америке,125,"США, Италия","драма, криминал",Once Upon a Time in America,1983,8.3,129 096
История игрушек,126,США,"мультфильм, фэнтези",Toy Story,1995,7.9,184 142
Темный рыцарь: Возрождение легенды,127,"Великобритания, США","фантастика, боевик","Dark Knight Rises, The",2012,8.1,367 496
Звёздные войны: Эпизод 4 – Новая надежда,128,США,"фантастика, боевик",Star Wars,1977,8.1,227 663
Достать ножи,129,США,"детектив, комедия",Knives Out,2019,8.0,396 579
В поисках Немо,130,США,"мультфильм, комедия",Finding Nemo,2003,7.9,224 008
Тренер Картер,131,"США, Германия","биография, спорт",Coach Carter,2005,8.0,101 008
Счастливое число Слевина,132,"Германия, Великобритания","боевик, триллер",Lucky Number Slevin,2005,8.1,325 035
Белый Бим Черное ухо,133,СССР,драма,-,1976,8.4,95 218
Доктор Лиза,134,Россия,"драма, биография",-,2020,8.1,57 185
Военный ныряльщик,135,США,"драма, биография",Men of Honor,2000,8.1,93 478
Умница Уилл Хантинг,136,США,"драма, мелодрама",Good Will Hunting,1997,8.1,190 988
Человек дождя,137,США,драма,Rain Man,1988,8.2,241 417
Дело храбрых,138,США,"боевик, драма",Only the Brave,2017,8.0,116 590
Исчезнувшая,139,США,"триллер, драма",Gone Girl,2014,7.9,389 090
Хатико: Самый верный друг,140,"Великобритания, США","драма, семейный",Hachi: A Dog's Tale,2008,8.3,390 848
Железный человек,141,"США, Канада","фантастика, боевик",Iron Man,2008,7.9,391 180
Унесенные ветром,142,США,"мелодрама, история",Gone with the Wind,1939,8.4,145 693
Стражи Галактики,143,США,"фантастика, боевик",Guardians of the Galaxy,2014,7.8,485 223
Терминал,144,США,"драма, мелодрама","Terminal, The",2004,8.1,254 425
Хоббит: Пустошь Смауга,145,"Новая Зеландия, США","фэнтези, приключения","Hobbit: The Desolation of Smaug, The",2013,8.0,316 115
Балто,146,США,"мультфильм, драма",Balto,1995,8.3,154 413
Крестный отец 2,147,США,"драма, криминал","Godfather: Part II, The",1974,8.5,169 092
Вечное сияние чистого разума,148,США,"мелодрама, фантастика",Eternal Sunshine of the Spotless Mind,2004,8.0,347 818
В погоне за счастьем,149,США,"драма, биография","Pursuit of Happyness, The",2006,8.2,259 698
Люди в черном,150,США,"фантастика, боевик",Men in Black,1997,8.0,284 665
Берегись автомобиля,151,СССР,"мелодрама, комедия",-,1966,8.2,135 854
Вторая жизнь Уве,152,Швеция,"драма, мелодрама",En man som heter Ove,2015,7.9,107 775
Иди и смотри,153,СССР,"драма, военный",-,1985,8.1,65 409
Звёздные войны: Эпизод 6 – Возвращение Джедая,154,США,"фантастика, боевик",Star Wars: Episode VI - Return of the Jedi,1983,8.1,216 191
Красавица и чудовище,155,США,"мультфильм, мюзикл",Beauty and the Beast,1991,8.3,244 874
Ледниковый период,156,США,"мультфильм, фэнтези",Ice Age,2002,8.0,303 646
Шерлок Холмс и доктор Ватсон: Кровавая надпись,157,СССР,"криминал, детектив",-,1979,8.4,98 297
Пятый элемент,158,"Франция, Великобритания","фантастика, боевик","Fifth Element, The",1997,8.1,401 907
Адвокат дьявола,159,"США, Германия","триллер, фэнтези","Devil's Advocate, The",1997,8.2,312 351
Песнь моря,160,"Ирландия, Дания","мультфильм, фэнтези",Song of the Sea,2014,8.1,61 302
Последний самурай,161,"США, Новая Зеландия","боевик, драма","Last Samurai, The",2003,8.1,160 320
Война,162,Россия,"боевик, драма",-,2002,7.9,84 734
Шерлок Холмс и доктор Ватсон: Сокровища Агры,163,СССР,"мелодрама, криминал",-,1983,8.3,84 765
Спасти рядового Райана,164,США,"драма, военный",Saving Private Ryan,1998,8.2,239 749
Дурак,165,Россия,драма,-,2014,8.1,278 550
Паразиты,166,Корея Южная,"триллер, драма",Gisaengchung,2019,8.0,220 264
Далласский клуб покупателей,167,США,"драма, биография",Dallas Buyers Club,2013,7.8,234 239
Остров собак,168,"Германия, Япония","мультфильм, фантастика",Isle of Dogs,2018,8.1,87 565
Хранители,169,США,"фантастика, боевик",Watchmen,2009,7.6,206 224
Отель «Гранд Будапешт»,170,"Германия, США","комедия, приключения","Grand Budapest Hotel, The",2014,7.9,304 717
Шестое чувство,171,США,"детектив, фэнтези","Sixth Sense, The",1999,8.2,256 338
Пираты Карибского моря: Сундук мертвеца,172,США,"фэнтези, боевик",Pirates of the Caribbean: Dead Man's Chest,2006,8.1,401 147
Бесподобный мистер Фокс,173,"США, Великобритания","мультфильм, драма",Fantastic Mr. Fox,2009,7.9,70 104
Двухсотлетний человек,174,"США, Германия","фантастика, драма",Bicentennial Man,1999,8.0,111 104
Человек-паук: Через вселенные,175,США,"мультфильм, фантастика",Spider-Man: Into the Spider-Verse,2018,8.0,274 882
Казино,176,"Франция, США","драма, криминал",Casino,1995,8.1,126 411
Крепкий орешек,177,США,"боевик, триллер",Die Hard,1988,8.0,210 366
Чужие,178,"Великобритания, США","ужасы, фантастика",Aliens,1986,8.0,170 693
Хоббит: Битва пяти воинств,179,"Новая Зеландия, США","фэнтези, приключения","Hobbit: The Battle of the Five Armies, The",2014,7.8,254 277
Капернаум,180,"Ливан, США",драма,Capharnaüm,2018,8.2,120 120
Мимино,181,СССР,"драма, комедия",-,1977,8.1,97 688
Вам и не снилось...,182,СССР,"драма, мелодрама",-,1980,8.2,92 056
12 стульев,183,СССР,"комедия, приключения",-,1971,8.2,194 573
Невероятный мир глазами Энцо,184,США,"драма, мелодрама","Art of Racing in the Rain, The",2019,7.9,42 199
Красота по-американски,185,США,драма,American Beauty,1999,8.0,203 227
Славные парни,186,США,"драма, криминал",Goodfellas,1990,8.1,141 533
Линкольн для адвоката,187,США,"триллер, драма","Lincoln Lawyer, The",2011,7.8,208 439
Константин: Повелитель тьмы,188,"США, Германия","ужасы, фэнтези",Constantine,2005,7.8,298 087
Гонка,189,"Великобритания, Германия","спорт, драма",Rush,2013,8.1,183 075
Привидение,190,США,"мелодрама, фэнтези",Ghost,1990,8.2,220 756
Мадагаскар,191,США,"мультфильм, комедия",Madagascar,2005,7.9,222 091
Лига справедливости Зака Снайдера,192,"США, Великобритания","фантастика, боевик",Zack Snyder's Justice League,2021,8.0,401 174
Пираты Карибского моря: На краю света,193,США,"фэнтези, боевик",Pirates of the Caribbean: At World's End,2007,8.0,355 036
Дьявол носит Prada,194,"США, Франция","драма, комедия","Devil Wears Prada, The",2006,7.6,255 511
Жизнь других,195,"Германия, Франция","триллер, драма",Das Leben der Anderen,2006,8.1,104 706
Форма голоса,196,Япония,"аниме, мультфильм",Koe no katachi,2016,8.1,50 117
